ore; minuti; secondi; corrente; tensione; lemcurr; lemref; temperatura;
15; 57; 51.866; 1.280; 3.973; 2.557; 2.508; 0.584;
15; 57; 51.916; 1.280; 3.975; 2.557; 2.509; 0.583;
15; 57; 51.966; 1.280; 3.976; 2.557; 2.509; 0.584;
15; 57; 52.127; 1.250; 3.973; 2.556; 2.509; 0.583;
15; 57; 52.177; 1.250; 3.974; 2.557; 2.508; 0.583;
15; 57; 52.227; 1.250; 3.975; 2.555; 2.509; 0.584;
15; 57; 52.277; 1.250; 3.977; 2.555; 2.509; 0.583;
15; 57; 52.327; 1.250; 3.979; 2.553; 2.509; 0.583;
15; 57; 52.377; 1.250; 3.980; 2.552; 2.509; 0.584;
15; 57; 52.427; 1.250; 3.981; 2.551; 2.510; 0.584;
15; 57; 52.477; 1.250; 3.982; 2.551; 2.511; 0.583;
15; 57; 52.527; 1.250; 3.983; 2.552; 2.511; 0.583;
15; 57; 52.577; 1.250; 3.980; 2.551; 2.511; 0.583;
15; 57; 52.627; 1.250; 3.983; 2.554; 2.512; 0.584;
15; 57; 52.677; 1.250; 3.979; 2.555; 2.511; 0.583;
15; 57; 52.727; 1.250; 3.975; 2.558; 2.511; 0.583;
15; 57; 52.777; 1.250; 3.972; 2.557; 2.510; 0.582;
15; 57; 52.827; 1.250; 3.972; 2.558; 2.509; 0.582;
15; 57; 52.877; 1.250; 3.973; 2.558; 2.509; 0.584;
15; 57; 52.927; 1.250; 3.974; 2.557; 2.508; 0.583;
15; 57; 52.977; 1.250; 3.975; 2.556; 2.509; 0.583;
15; 57; 53.027; 1.250; 3.976; 2.555; 2.508; 0.582;
15; 57; 53.077; 1.250; 3.977; 2.555; 2.509; 0.583;
15; 57; 53.127; 1.250; 3.978; 2.554; 2.508; 0.583;
15; 57; 53.177; 1.250; 3.978; 2.554; 2.509; 0.583;
15; 57; 53.227; 1.250; 3.978; 2.554; 2.508; 0.583;
15; 57; 53.277; 1.250; 3.978; 2.552; 2.509; 0.583;
15; 57; 53.327; 1.250; 3.980; 2.552; 2.510; 0.583;
15; 57; 53.377; 1.250; 3.980; 2.552; 2.509; 0.583;
