ore; minuti; secondi; corrente; tensione; lemcurr; lemref; temperatura;
8; 54; 17.001; 0.010; 1.388; 2.509; 2.505; 0.317;
8; 54; 17.051; 0.010; 1.401; 2.510; 2.506; 0.308;
8; 54; 17.101; 0.010; 1.401; 2.510; 2.506; 0.309;
8; 54; 17.151; 0.010; 1.387; 2.510; 2.506; 0.313;
8; 54; 17.201; 0.010; 1.386; 2.510; 2.506; 0.318;
8; 54; 17.251; 0.010; 1.395; 2.510; 2.506; 0.313;
8; 54; 17.301; 0.010; 1.404; 2.509; 2.505; 0.310;
8; 54; 17.509; 0.000; 1.385; 2.510; 2.505; 0.319;
8; 54; 17.559; 0.000; 1.389; 2.510; 2.505; 0.317;
8; 54; 17.609; 0.000; 1.402; 2.509; 2.505; 0.307;
8; 54; 17.659; 0.000; 1.403; 2.511; 2.505; 0.308;
8; 54; 17.709; 0.000; 1.392; 2.509; 2.505; 0.313;
8; 54; 17.759; 0.000; 1.385; 2.509; 2.506; 0.319;
8; 54; 17.809; 0.000; 1.387; 2.509; 2.505; 0.317;
8; 54; 17.859; 0.000; 1.397; 2.509; 2.505; 0.309;
8; 54; 17.909; 0.000; 1.404; 2.509; 2.505; 0.312;
8; 54; 17.959; 0.000; 1.398; 2.510; 2.505; 0.310;
8; 54; 18.009; 0.000; 1.387; 2.510; 2.506; 0.313;
8; 54; 18.059; 0.000; 1.385; 2.510; 2.505; 0.319;
8; 54; 18.109; 0.000; 1.390; 2.509; 2.505; 0.317;
8; 54; 18.159; 0.000; 1.401; 2.510; 2.506; 0.306;
8; 54; 18.209; 0.000; 1.403; 2.510; 2.506; 0.309;
8; 54; 18.259; 0.000; 1.393; 2.509; 2.506; 0.313;
8; 54; 18.309; 0.000; 1.384; 2.510; 2.505; 0.318;
8; 54; 18.359; 0.000; 1.387; 2.510; 2.505; 0.318;
8; 54; 18.409; 0.000; 1.398; 2.510; 2.506; 0.309;
8; 54; 18.459; 0.000; 1.403; 2.510; 2.506; 0.309;
8; 54; 18.509; 0.000; 1.393; 2.510; 2.506; 0.313;
8; 54; 18.559; 0.000; 1.385; 2.509; 2.505; 0.319;
8; 54; 18.609; 0.000; 1.388; 2.509; 2.506; 0.317;
8; 54; 18.659; 0.000; 1.398; 2.510; 2.505; 0.309;
8; 54; 18.709; 0.000; 1.403; 2.509; 2.506; 0.310;
8; 54; 18.759; 0.000; 1.391; 2.510; 2.506; 0.313;
8; 54; 18.809; 0.000; 1.385; 2.511; 2.505; 0.318;
8; 54; 18.859; 0.000; 1.388; 2.509; 2.505; 0.318;
8; 54; 18.909; 0.000; 1.398; 2.510; 2.505; 0.307;
8; 54; 18.959; 0.000; 1.404; 2.510; 2.505; 0.312;
8; 54; 19.161; 0.000; 1.392; 2.509; 2.505; 0.318;
8; 54; 19.211; 0.000; 1.405; 2.509; 2.505; 0.308;
8; 54; 19.261; 0.000; 1.400; 2.510; 2.506; 0.309;
8; 54; 19.311; 0.000; 1.387; 2.510; 2.506; 0.313;
8; 54; 19.361; 0.000; 1.385; 2.510; 2.505; 0.319;
8; 54; 19.411; 0.000; 1.388; 2.510; 2.505; 0.318;
