ore; minuti; secondi; corrente; tensione; lemcurr; lemref; temperatura/100;
16; 20; 19.492;-1.000; 3.593; 2.463; 2.496; 0.323;
16; 20; 19.542;-1.000; 3.593; 2.463; 2.497; 0.322;
16; 20; 19.592;-1.000; 3.593; 2.463; 2.497; 0.311;
16; 20; 19.642;-1.000; 3.594; 2.463; 2.497; 0.300;
16; 20; 19.692;-1.000; 3.594; 2.463; 2.496; 0.320;
16; 20; 19.742;-1.000; 3.593; 2.464; 2.496; 0.321;
16; 20; 19.792;-1.000; 3.594; 2.463; 2.496; 0.306;
16; 20; 19.842;-1.000; 3.593; 2.463; 2.497; 0.304;
16; 20; 19.892;-1.000; 3.594; 2.464; 2.496; 0.322;
16; 20; 19.942;-1.000; 3.594; 2.463; 2.496; 0.323;
16; 20; 19.992;-1.000; 3.594; 2.463; 2.497; 0.306;
16; 20; 20.042;-1.000; 3.593; 2.463; 2.496; 0.306;
16; 20; 20.092;-1.000; 3.595; 2.463; 2.496; 0.323;
16; 20; 20.142;-1.000; 3.594; 2.463; 2.496; 0.322;
16; 20; 20.192;-1.000; 3.594; 2.463; 2.497; 0.304;
16; 20; 20.242;-1.000; 3.595; 2.463; 2.497; 0.304;
16; 20; 20.292;-1.000; 3.594; 2.463; 2.497; 0.324;
16; 20; 20.342;-1.000; 3.594; 2.463; 2.497; 0.321;
16; 20; 20.392;-1.000; 3.594; 2.462; 2.497; 0.307;
16; 20; 20.442;-1.000; 3.594; 2.463; 2.496; 0.305;
16; 20; 20.492;-1.000; 3.594; 2.463; 2.497; 0.322;
16; 20; 20.660;-1.070; 3.594; 2.463; 2.496; 0.306;
16; 20; 20.710;-1.070; 3.595; 2.462; 2.496; 0.305;
16; 20; 20.760;-1.070; 3.595; 2.463; 2.496; 0.322;
16; 20; 20.810;-1.070; 3.595; 2.463; 2.497; 0.320;
16; 20; 20.860;-1.070; 3.595; 2.463; 2.496; 0.305;
16; 20; 20.910;-1.070; 3.595; 2.463; 2.496; 0.314;
16; 20; 20.960;-1.070; 3.594; 2.463; 2.496; 0.322;
16; 20; 21.010;-1.070; 3.595; 2.464; 2.496; 0.314;
16; 20; 21.060;-1.070; 3.595; 2.463; 2.497; 0.301;
16; 20; 21.110;-1.070; 3.596; 2.463; 2.497; 0.315;
16; 20; 21.160;-1.070; 3.595; 2.463; 2.496; 0.322;
16; 20; 21.210;-1.070; 3.595; 2.464; 2.496; 0.308;
16; 20; 21.260;-1.070; 3.595; 2.463; 2.497; 0.303;
16; 20; 21.310;-1.070; 3.595; 2.463; 2.496; 0.321;
16; 20; 21.360;-1.070; 3.595; 2.463; 2.496; 0.321;
16; 20; 21.410;-1.070; 3.595; 2.464; 2.497; 0.305;
16; 20; 21.460;-1.070; 3.595; 2.464; 2.497; 0.304;
16; 20; 21.510;-1.070; 3.595; 2.463; 2.496; 0.327;
16; 20; 21.560;-1.070; 3.595; 2.463; 2.496; 0.315;
16; 20; 21.610;-1.070; 3.596; 2.463; 2.497; 0.303;
16; 20; 21.660;-1.070; 3.595; 2.463; 2.496; 0.315;
16; 20; 21.710;-1.070; 3.596; 2.463; 2.496; 0.321;
16; 20; 21.760;-1.070; 3.596; 2.464; 2.496; 0.307;
16; 20; 21.810;-1.070; 3.596; 2.463; 2.496; 0.306;
16; 20; 21.860;-1.070; 3.596; 2.463; 2.496; 0.328;
16; 20; 21.910;-1.070; 3.596; 2.463; 2.497; 0.314;
16; 20; 21.960;-1.070; 3.596; 2.463; 2.497; 0.298;
16; 20; 22.010;-1.070; 3.596; 2.464; 2.497; 0.320;
16; 20; 22.060;-1.070; 3.596; 2.462; 2.496; 0.320;
16; 20; 22.110;-1.070; 3.596; 2.464; 2.496; 0.306;
16; 20; 22.330;-1.060; 3.596; 2.462; 2.496; 0.309;
16; 20; 22.380;-1.060; 3.596; 2.462; 2.496; 0.326;
16; 20; 22.430;-1.060; 3.596; 2.463; 2.496; 0.314;
16; 20; 22.480;-1.060; 3.595; 2.462; 2.496; 0.299;
16; 20; 22.530;-1.060; 3.596; 2.463; 2.497; 0.321;
16; 20; 22.580;-1.060; 3.597; 2.463; 2.496; 0.321;
16; 20; 22.630;-1.060; 3.596; 2.463; 2.496; 0.307;
16; 20; 22.680;-1.060; 3.596; 2.463; 2.496; 0.310;
16; 20; 22.730;-1.060; 3.596; 2.463; 2.496; 0.325;
16; 20; 22.780;-1.060; 3.596; 2.463; 2.497; 0.311;
16; 20; 22.830;-1.060; 3.596; 2.463; 2.496; 0.301;
16; 20; 22.880;-1.060; 3.596; 2.463; 2.496; 0.325;
16; 20; 22.930;-1.060; 3.597; 2.462; 2.496; 0.316;
16; 20; 22.980;-1.060; 3.597; 2.462; 2.496; 0.304;
16; 20; 23.030;-1.060; 3.597; 2.462; 2.497; 0.315;
16; 20; 23.080;-1.060; 3.596; 2.464; 2.496; 0.321;
16; 20; 23.130;-1.060; 3.597; 2.462; 2.496; 0.306;
16; 20; 23.180;-1.060; 3.597; 2.463; 2.496; 0.314;
16; 20; 23.230;-1.060; 3.597; 2.463; 2.495; 0.320;
16; 20; 23.280;-1.060; 3.597; 2.463; 2.496; 0.306;
16; 20; 23.330;-1.060; 3.597; 2.463; 2.496; 0.313;
16; 20; 23.380;-1.060; 3.596; 2.463; 2.496; 0.322;
16; 20; 23.430;-1.060; 3.597; 2.463; 2.496; 0.309;
16; 20; 23.480;-1.060; 3.597; 2.463; 2.496; 0.304;
16; 20; 23.530;-1.060; 3.597; 2.462; 2.496; 0.327;
16; 20; 23.580;-1.060; 3.596; 2.464; 2.496; 0.315;
16; 20; 23.630;-1.060; 3.597; 2.463; 2.496; 0.299;
16; 20; 23.680;-1.060; 3.597; 2.463; 2.496; 0.320;
16; 20; 23.730;-1.060; 3.597; 2.463; 2.496; 0.320;
16; 20; 23.780;-1.060; 3.598; 2.463; 2.496; 0.307;
16; 20; 23.944;-1.050; 3.597; 2.463; 2.496; 0.319;
16; 20; 23.994;-1.050; 3.597; 2.463; 2.497; 0.301;
16; 20; 24.044;-1.050; 3.597; 2.463; 2.496; 0.320;
16; 20; 24.094;-1.050; 3.597; 2.463; 2.497; 0.321;
16; 20; 24.144;-1.050; 3.597; 2.463; 2.496; 0.305;
16; 20; 24.194;-1.050; 3.597; 2.464; 2.496; 0.314;
16; 20; 24.244;-1.050; 3.598; 2.463; 2.497; 0.320;
16; 20; 24.294;-1.050; 3.597; 2.462; 2.496; 0.306;
16; 20; 24.344;-1.050; 3.598; 2.464; 2.496; 0.306;
16; 20; 24.394;-1.050; 3.598; 2.463; 2.496; 0.327;
16; 20; 24.444;-1.050; 3.598; 2.463; 2.496; 0.309;
16; 20; 24.494;-1.050; 3.598; 2.463; 2.496; 0.306;
16; 20; 24.544;-1.050; 3.598; 2.463; 2.496; 0.326;
16; 20; 24.594;-1.050; 3.598; 2.463; 2.496; 0.314;
16; 20; 24.644;-1.050; 3.598; 2.463; 2.497; 0.299;
16; 20; 24.694;-1.050; 3.598; 2.464; 2.497; 0.326;
16; 20; 24.744;-1.050; 3.598; 2.463; 2.496; 0.315;
16; 20; 24.794;-1.050; 3.598; 2.462; 2.497; 0.300;
16; 20; 24.844;-1.050; 3.599; 2.464; 2.496; 0.321;
16; 20; 24.894;-1.050; 3.598; 2.462; 2.496; 0.320;
16; 20; 24.944;-1.050; 3.599; 2.463; 2.496; 0.301;
16; 20; 24.994;-1.050; 3.599; 2.463; 2.496; 0.318;
